TERRITORY,PRODUCT FAMILY,Forecast - Sep-21,Actual Sales - Sep-21,Variance1,Type1,SEP APE%,SEP Category,Forecast - Oct 21,Actual Sales - Oct 21,Variance2,Type2,OCT Abs Per Error,OCT Category,2M-MAPE %,Category
AP & TELANGANA,AL210(20),461,180,281,Short,156.1111111,C,420,120,300,Short,250,C,203.0555556,C
AP & TELANGANA,AL400SS,556,140,416,Short,297.1428571,C,116,140,24,Excess,17.14285714,A,157.1428571,C
AP & TELANGANA,AL410(20),163,120,43,Short,35.83333333,A,150,0,150,Short,500,D,267.9166667,C
AP & TELANGANA,AL500NS,174,40,134,Short,335,C,54,340,286,Excess,84.11764706,B,209.5588235,C
AP & TELANGANA,BRITO-08KY,55,28,27,Short,96.42857143,B,72,16,56,Short,350,C,223.2142857,C
AP & TELANGANA,CL100SS,211,140,71,Short,50.71428571,B,217,120,97,Short,80.83333333,B,65.77380952,B
AP & TELANGANA,CL200SS,40,0,40,Short,500,D,53,0,53,Short,500,D,500,D
AP & TELANGANA,CL206SS,116,0,116,Short,500,D,70,60,10,Short,16.66666667,A,258.3333333,C
AP & TELANGANA,DASH-08CY,7,32,25,Excess,78.125,B,67,56,11,Short,19.64285714,A,48.88392857,A
AP & TELANGANA,DC80 Ext.,28,24,4,Short,16.66666667,A,17,24,7,Excess,29.16666667,A,22.91666667,A
AP & TELANGANA,DC80 Ext. (WP),145,54,91,Short,168.5185185,C,69,72,3,Excess,4.166666667,A,86.34259259,B
AP & TELANGANA,ETTOSM(SS),446,0,446,Short,500,D,200,0,200,Short,500,D,500,D
AP & TELANGANA,HALE-08CY,29,24,5,Short,20.83333333,A,59,24,35,Short,145.8333333,C,83.33333333,B
AP & TELANGANA,HG1253SS,2962,5840,2878,Excess,49.28082192,A,2817,2160,657,Short,30.41666667,A,39.84874429,A
AP & TELANGANA,KAIRA-08CY,340,48,292,Short,608.3333333,D,189,704,515,Excess,73.15340909,B,340.7433712,C
AP & TELANGANA,KAIRA-OR,58,32,26,Short,81.25,B,200,72,128,Short,177.7777778,C,129.5138889,C
AP & TELANGANA,ML103SS,292,160,132,Short,82.5,B,93,40,53,Short,132.5,C,107.5,C
AP & TELANGANA,ML110SS,1112,20,1092,Short,5460,D,286,120,166,Short,138.3333333,C,2799.166667,D
AP & TELANGANA,ML112SS,402,160,242,Short,151.25,C,300,0,300,Short,500,D,325.625,C
AP & TELANGANA,MP330NI,116,0,116,Short,500,D,421,240,181,Short,75.41666667,B,287.7083333,C
AP & TELANGANA,PHA103NS,24,56,32,Excess,57.14285714,B,42,48,6,Excess,12.5,A,34.82142857,A
AP & TELANGANA,PHA303NS,60,0,60,Short,500,D,27,208,181,Excess,87.01923077,B,293.5096154,C
AP & TELANGANA,PRTOSM(SS),245,0,245,Short,500,D,300,30,270,Short,900,D,700,D
AP & TELANGANA,SD10PSS22,29,0,29,Short,500,D,20,60,40,Excess,66.66666667,B,283.3333333,C
AP & TELANGANA,SDORSS22,11,0,11,Short,500,D,60,80,20,Excess,25,A,262.5,C
AP & TELANGANA,TRAORGMHG,26,129,103,Excess,79.84496124,B,30,174,144,Excess,82.75862069,B,81.30179096,B
DELHI,AL400SS,2736,160,2576,Short,1610,D,600,3020,2420,Excess,80.13245033,B,845.0662252,D
DELHI,AL410(20),2994,120,2874,Short,2395,D,930,3660,2730,Excess,74.59016393,B,1234.795082,D
DELHI,AL411(25),381,60,321,Short,535,D,267,600,333,Excess,55.5,B,295.25,C
DELHI,AL500NS,869,60,809,Short,1348.333333,D,262,280,18,Excess,6.428571429,A,677.3809524,D
DELHI,CETO-08CY,11,0,11,Short,500,D,9,40,31,Excess,77.5,B,288.75,C
DELHI,DASH-08CY,73,52,21,Short,40.38461538,A,87,120,33,Excess,27.5,A,33.94230769,A
DELHI,DC80 Ext. (WP),92,84,8,Short,9.523809524,A,175,824,649,Excess,78.76213592,B,44.14297272,A
DELHI,HALE-08CY,43,104,61,Excess,58.65384615,B,65,116,51,Excess,43.96551724,A,51.3096817,B
DELHI,HG1153SS,116,0,116,Short,500,D,114,440,326,Excess,74.09090909,B,287.0454545,C
DELHI,"KAIRA-10""",836,124,712,Short,574.1935484,D,92,416,324,Excess,77.88461538,B,326.0390819,C
DELHI,KAIRA-OR,241,20,221,Short,1105,D,59,188,129,Excess,68.61702128,B,586.8085106,D
DELHI,ML100HG,167,1966,1799,Excess,91.50559512,B,0,1223,1223,Excess,100,D,95.75279756,B
DELHI,ML110PT,233,60,173,Short,288.3333333,C,134,100,34,Short,34,B,161.1666667,C
DELHI,ML110SS,364,160,204,Short,127.5,C,953,660,293,Short,44.39393939,A,85.9469697,B
DELHI,ML110TM,35,622,587,Excess,94.37299035,B,0,395,395,Excess,100,D,97.18649518,B
DELHI,ML112SS,280,180,100,Short,55.55555556,B,574,480,94,Short,19.58333333,A,37.56944444,A
DELHI,MP330NI,340,0,340,Short,500,D,101,960,859,Excess,89.47916667,B,294.7395833,C
DELHI,MP360SS,648,3120,2472,Excess,79.23076923,B,599,2520,1921,Excess,76.23015873,B,77.73046398,B
DELHI,MP370SS,398,1320,922,Excess,69.84848485,B,413,120,293,Short,244.1666667,C,157.0075758,C
DELHI,MP390NI,2912,3840,928,Excess,24.16666667,A,1767,1800,33,Excess,1.833333333,A,13,A
DELHI,ONIX-OR,59,0,59,Short,500,D,21,60,39,Excess,65,B,282.5,C
DELHI,SD12PSS22,70,52,18,Short,34.61538462,A,64,59,5,Short,8.474576271,A,21.54498044,A
DELHI,SDORSS22,33,0,33,Short,500,D,96,10,86,Short,860,D,680,D
